,unixtimestamp,close_time,datetime,close_datetime,open,close,low,high,volume
216,1738251900000,1738252799999,2025-01-30 15:45:00,2025-01-30 15:59:59.999,105828.82,105564.0,105459.64,106165.15,404.15713
217,1738252800000,1738253699999,2025-01-30 16:00:00,2025-01-30 16:14:59.999,105563.99,105638.3,105455.3,105849.98,248.85288
218,1738253700000,1738254599999,2025-01-30 16:15:00,2025-01-30 16:29:59.999,105638.29,105948.73,105544.0,106004.48,348.59595
219,1738254600000,1738255499999,2025-01-30 16:30:00,2025-01-30 16:44:59.999,105948.73,105795.68,105687.01,106013.01,256.5176
220,1738255500000,1738256399999,2025-01-30 16:45:00,2025-01-30 16:59:59.999,105795.68,105696.96,105624.53,105843.68,138.34753
221,1738256400000,1738257299999,2025-01-30 17:00:00,2025-01-30 17:14:59.999,105696.96,105335.41,105272.72,105698.27,253.25501
222,1738257300000,1738258199999,2025-01-30 17:15:00,2025-01-30 17:29:59.999,105335.4,105131.77,105111.0,105452.85,167.74873
223,1738258200000,1738259099999,2025-01-30 17:30:00,2025-01-30 17:44:59.999,105131.76,105018.14,104900.14,105216.46,283.62433
224,1738259100000,1738259999999,2025-01-30 17:45:00,2025-01-30 17:59:59.999,105018.13,105300.01,105018.13,105333.06,153.85892
225,1738260000000,1738260899999,2025-01-30 18:00:00,2025-01-30 18:14:59.999,105300.01,105215.69,105153.14,105330.95,146.18649
226,1738260900000,1738261799999,2025-01-30 18:15:00,2025-01-30 18:29:59.999,105215.68,104910.75,104762.59,105261.99,202.95621
227,1738261800000,1738262699999,2025-01-30 18:30:00,2025-01-30 18:44:59.999,104910.75,105395.19,104888.85,105496.0,161.35426
228,1738262700000,1738263599999,2025-01-30 18:45:00,2025-01-30 18:59:59.999,105395.2,105578.95,105338.0,105583.39,158.97265
229,1738263600000,1738264499999,2025-01-30 19:00:00,2025-01-30 19:14:59.999,105578.96,105472.86,105450.98,105632.25,170.06059
230,1738264500000,1738265399999,2025-01-30 19:15:00,2025-01-30 19:29:59.999,105472.86,105410.77,105231.58,105504.0,170.2705
231,1738265400000,1738266299999,2025-01-30 19:30:00,2025-01-30 19:44:59.999,105410.78,105480.36,105244.47,105480.37,139.59448
232,1738266300000,1738267199999,2025-01-30 19:45:00,2025-01-30 19:59:59.999,105480.36,105711.27,105404.0,105776.87,142.557
233,1738267200000,1738268099999,2025-01-30 20:00:00,2025-01-30 20:14:59.999,105711.28,105772.32,105659.92,105810.82,171.35128
234,1738268100000,1738268999999,2025-01-30 20:15:00,2025-01-30 20:29:59.999,105772.32,105653.05,105642.06,105821.62,180.49804
235,1738269000000,1738269899999,2025-01-30 20:30:00,2025-01-30 20:44:59.999,105653.05,104900.0,104900.0,105669.48,374.05721
236,1738269900000,1738270799999,2025-01-30 20:45:00,2025-01-30 20:59:59.999,104900.0,104907.15,104815.82,105280.09,392.521
237,1738270800000,1738271699999,2025-01-30 21:00:00,2025-01-30 21:14:59.999,104907.1,104966.28,104805.15,105054.71,197.96355
